Product_Name,Category,Brand,Price_INR,Quantity_Sold,Total_Sales,Store_Type,City,Area_Type,Date,Discount_Percentage,Customer_Rating,Competitor_Price,Demand_Level,Profit_Margin
Shampoo,Personal Care,Tata,90.09,15,1351.35,Supermarket,Hyderabad,Urban,2026-03-11,23.23,4.3,97.63,Low,11.08
Detergent,Household,Aashirvaad,180.08,29,5222.32,Kirana Store,Chennai,Urban,2026-03-08,14.39,3.7,167.21,Low,29.46
Toothpaste,Personal Care,Patanjali,225.04,62,13952.48,Kirana Store,Hyderabad,Semi-Urban,2025-09-17,28.83,2.0,243.18,High,19.55
Sugar,Groceries,Aashirvaad,264.49,24,6347.76,Supermarket,Hyderabad,Urban,2025-09-08,9.97,3.7,252.91,Low,21.69
Shampoo,Personal Care,Store Brand,62.01,12,744.12,Supermarket,Ahmedabad,Semi-Urban,2025-08-15,3.1,2.7,64.75,Low,12.47
Shampoo,Personal Care,Aashirvaad,218.67,50,10933.5,Kirana Store,Hyderabad,Urban,2025-08-08,15.93,3.9,200.18,Medium,12.47
Floor Cleaner,Household,Tata,445.97,7,3121.79,Supermarket,Bangalore,Semi-Urban,2025-09-08,9.97,3.6,460.68,Low,20.47
Cooking Oil,Groceries,Store Brand,116.36,27,3141.72,Mall,Bangalore,Semi-Urban,2025-04-25,4.95,1.5,124.36,Low,16.1
Dishwash Bar,Household,P&G,356.08,22,7833.76,Mall,Hyderabad,Urban,2025-11-29,25.31,3.7,358.69,Low,23.48
Rice,Groceries,P&G,188.28,33,6213.24,Supermarket,Mumbai,Urban,2026-02-18,25.91,3.7,189.45,Medium,18.49
Floor Cleaner,Household,Dabur,394.53,23,9074.19,Supermarket,Mumbai,Urban,2025-07-07,13.66,2.3,419.62,Low,15.24
Floor Cleaner,Household,Store Brand,263.59,13,3426.67,Kirana Store,Pune,Rural,2025-12-23,13.32,3.0,270.51,Low,13.26
Floor Cleaner,Household,P&G,141.55,28,3963.4,Supermarket,Chennai,Urban,2025-08-30,4.61,5.0,148.35,Low,22.77
Hair Oil,Personal Care,Dabur,278.29,24,6678.96,Kirana Store,Ahmedabad,Semi-Urban,2025-06-03,26.29,1.6,303.57,Low,11.67
Shampoo,Personal Care,P&G,355.13,26,9233.38,Supermarket,Pune,Urban,2025-08-28,21.86,4.5,331.36,Low,11.04
Cooking Oil,Groceries,Local Brand,111.51,40,4460.4,Kirana Store,Hyderabad,Semi-Urban,2026-02-02,0.99,4.2,119.87,Medium,11.47
Dal,Groceries,Dabur,190.99,33,6302.67,Kirana Store,Hyderabad,Urban,2025-05-27,22.82,1.9,195.32,Medium,9.14
Toothpaste,Personal Care,Patanjali,103.27,27,2788.29,Kirana Store,Bangalore,Rural,2026-01-16,5.95,2.9,94.03,Low,22.87
Toothpaste,Personal Care,Fortune,147.81,18,2660.58,Supermarket,Bangalore,Semi-Urban,2025-07-26,6.65,3.8,154.27,Low,25.57
Hair Oil,Personal Care,Store Brand,70.53,38,2680.14,Kirana Store,Chennai,Rural,2025-08-24,19.62,3.0,65.89,Medium,16.47
Detergent,Household,Reliance,190.73,26,4958.98,Supermarket,Mumbai,Semi-Urban,2026-03-23,13.46,2.6,179.92,Low,13.96
Detergent,Household,Tata,534.11,17,9079.87,Kirana Store,Bangalore,Urban,2026-04-01,23.77,4.7,494.22,Low,19.35
Floor Cleaner,Household,Local Brand,303.66,7,2125.62,Supermarket,Ahmedabad,Rural,2025-06-01,1.87,1.8,301.97,Low,11.14
Dishwash Bar,Household,Reliance,237.21,9,2134.89,Supermarket,Pune,Urban,2026-02-14,8.49,2.1,222.88,Low,16.41
Dal,Groceries,Local Brand,105.35,10,1053.5,Supermarket,Ahmedabad,Urban,2025-06-16,1.04,4.4,107.4,Low,13.19
